Positive,Negative
mutation of the either target site abrogated repression,"miR-18a represses angiogenesis and tumor evasion by weakening vascular endothelial growth factor and transforming growth factor-β signaling to prolong the survival of glioma patients, although it is thought to be an oncogene."
TGFBR2 is a Direct Target of miR-106a,"In the control group, 29 subjects (56.6 ± 1.6 years old), 9 (31%) males and 20 (69%) females, were included."
MiR-223 targets mouse STAT3 for translational inhibition but not mRNA degradation.,"MicroRNA-195 (miR-195) has been implicated in several other cancers; however, its role in non-small cell lung cancer (NSCLC) remains unclear."
Bcl-xl is one of the target genes for let-7c in HUVECs,microRNAs (miRNAs) are small non-coding RNAs that potentially play a critical role in carcinogenesis.
These findings suggest that miR-210 works as an iron sensor and is involved in the maintenance of iron  homeostasis by sustaining the TfR expression  level to stimulate cell proliferation and promote cell survival in the hypoxic region within tumors.,"In this study, we aim to explore the upstream and downstream molecular mechanisms of ARL4C in GC cells."
MicroRNA-126 inhibits the tumor cell proliferation though PI3K-AKT pathway in NSCLC.,In vivo experiments were performed in 2 mouse models of experimental colitis.
"The study provides experimental evidence that miR-199a-5p over-expression is able to inhibit CRC cell proliferatioN and reverse tumor cell drug resistance in vitro and in vivo,partly through supPressing the expression of CAC1 protein at the post-transcriptional level in CRC.","Homologous to sites in the EBV LMP1 and BHRF1 3'-untranslated regions (UTRs), we also identified evolutionarily conserved binding sites for the cellular miR-17/20/106 family in the LMP1 and BHRF1 3'UTRs of several primate LCVs."
"Considering that miR-199a-5p is down-regulated in the majority oF CRC, our results suggest that miR-199a-5p is a possible therapeutic approach for CRC.","BACKGROUND AND AIMS: Recently, some miRNAs have been reported to be connected closely with the development of human hepatocellular carcinoma."
"mir-124a Directly Targets Dlx5, and mir-181a Directly Targets Msx2","In mouse aorta, miR-155 expression was increased in the intima of thoracic aorta, where blood flow produces steady and unidirectional shear stress, compared with the intima of the lower curvature of the aortic arch, which is associated with oscillatory and low shear stress."
miR-21 targets Il12p35 mRNA,"RMRP levels in 792 tissues, plasma and gastric juices from patients with various stages of gastric tumorigenesis were analyzed by quantitative reverse transcription-polymerase chain reaction."
this decrease was abrogated by transfection of a plasmid containing a three-base mutation in the miR-21 binding site.,"We overexpressed STAT3 to conduct rescue experiments, the result showed a recovery of STAT3 and EMT characteristics."
miR-21 promotes DC apoptosis by targeting Bcl2,"Analysis of interactions and extensive experimental validation of chimera-discovered targets of viral miRNAs suggest that our strategy identifies canonical, noncanonical, and nonconserved miRNA:targets."
PIK3CA is a novel target of miR-124 in HepG2 cells,We previously reported that PRL-3 expression is significantly higher in the tissues of primary gastric carcinomas with peritoneal metastasis.
miR-7 and miR-218 directly targets HoxB3,"To test the function of miR-483 during chondrogenesis, lentiviral strategies were used to overexpress miR-483 during in vitro chondrogenesis of human bone marrow-derived mesenchymal stem cells (hBM-MSCs)."
"Collectively, these data indicate that TRPS1 is a target of miR-221/222 and that its down-regulation by miR-221/222 promotes the EMT phenotype.","c-Myc, p-STAT1, p-STAT3, p-MAPK were all negatively regulated by miR-200a (P < 0.01 or P < 0.001); more important, the increase of c-Myc induced by miR-200a silencing was abolished by Nifuroxazide or BIRB 796 (P < 0.01 or P < 0.001)."
Mcl-1 and IL6R Are Direct Targets of miR-125b in HCC,"These genes were related to transcription, metabolism, biosynthesis, and proliferation."
The miR-143/145 Cluster Is a Transcriptional Target of Notch Signaling in VSMC,The present study shows for the first time that CYP2Cs are also regulated post-transcriptionally by microRNAs (miRNAs).
miR-155 inhibits FADD and caspase-3 expression and regulates Fas-mediated apoptosis by directly targeting their 3-UTRs in human NP cells,"Galectin-9 (Gal-9) plays an important role in both the immune response and tumor progression, while microRNAs act as tumor regulators to mediate tumorigenesis."
miR-125b Directly Targeted the Tumor Suppressor gene STARD13,"Notably, miR-26a overexpression was accompanied by global upregulation of miRNAs, especially let-7, and let-7 expression was concordant with miR-26a expression in cancer cell lines, xenograft tumors and normal human tissues, underscoring their biological relevance."
HK2 is a direct target of miR-143,"Although significant advances have been made demonstrating that this aging phenotype results primarily from an endocrine imbalance, the post-transcriptional regulation of gene expression and its impact on longevity remains to be explored."
This regulation was alleviated when two nucleotides in the seed site had been mutated,"An evolutionarily conserved microRNA cluster containing miR-99b, let-7e, and miR-125a was preferentially expressed in long-term hematopoietic stem cells."
MicroRNA (miR)-10 directly targets fms-related tyrosine kinase 1 (FLT1) and soluble splice variant of FLT1 (sFLT1) to  regulate kinase insert domain receptor (KDR) activity,qRT-PCR was performed to assess miR-133a levels in 6 breast cell lines and 10 benign and 18 cancerous fresh breast tissue specimens.
PTEN was a functional and direct target of miR-21,This provides a new understanding of the mechanism of HBV-related HCC pathogenesis and the potential application of miR-101-3p in cancer therapy.
transfection of miR- 21 mimics or anti-miR-21 in A549 cells with the mutant 3 ' - UTR (pLuc-PTEN 3 0 UTR-mut) vector showed no effect on luciferase activity,"Unexpectedly, overexpression of miR-146a attenuates the proliferation, migration, and tumorigenic potential of Ink4a/Arf(-/-) Pten(-/-) Egfr(vIII) murine astrocytes."
miR-181a targets c- Fos in ox-LDL-stimulated BMDCs,"The miR-145 binds to the 3'-UTRs of Klf4 and Osx genes, inhibiting their expression."
Mir-142-3p is a Bmal1 -targeting miRNA,Aberrations in Hox gene expression are important for oncogene or tumor suppressor during abnormal development and malignancy.
Rap1b is a target of miR-518b,"In this study, we investigated the biological significance of miR-9 in OSC in vitro."
miR-518b had little observable effects on the mutated Rap1b 3 0 -UTR luciferase reporter,"Finally, apoptosis, chemosensitivity to gemcitabine and cell proliferation were evaluated."
KIF3B is a rno-miR-127 target gene in proximal tubule cells submitted to H/R,Increased activities of miR-221* and miR-224 reduce growth and metastasis of CRC xenograft tumors in mice; these miRs might be developed as therapeutic reagents or biomarkers of CRC progression.
"SOCS6, TNFa, and IL24 mRNA transcripts are direct targets of miR- 203","Herein, we show that miR-198 directly targets c-MET via its 3'UTR."
miR- 148 a and miR- 152 directly targeted IGF-IR and IRS 1 in BC cells.,"In these studies, the effect of castration on miR-125b serum expression was evaluated in mice, simulating androgen deprivation."
"We recognize two target sites for the microRNAs in the 3' untranslated region of p27 mRNA, and we show that miR-221/222 ectopic overexpression directly results in p27 down-regulation in LNCaP cells.","Transfection with pre-miR-140 significantly decreased (p = 0.0002) and with anti-miR-140 significantly increased (p = 0.05) IGFBP-5 expression at 24 hours, while pre-miR-27a did not affect either MMP-13 or IGFBP-5."
Amd1 translational down-regulation is mediated by miR-762.,We found 37 microRNAs that were differentially expressed between human BCSCs and nontumorigenic cancer cells.
miR-429 acts directly at the 3 ' UTR of OSTF1,"The bulls with the haplotypic combinations H6H4, H6H6, and H6H8 had higher initial semen motility than those with the H7H8 and H8H4 haplotypic combinations (P<0.05)."
MiR-467b directly targets the 3' UTR of LPL in cells,"In conclusion, our results demonstrate that miR-192 is a tumor suppressor that can target the RB1 gene to inhibit cell proliferation and induce cell apoptosis in lung cancer cells."
miR-136 directly targets AEG-1 and Bcl-2,GO/KO analysis of these two genes showed close correlations with carcinogenesis and chemoresistance.
which can be abrogated by mutations in seed complementary site,"However, the role of miR-149 in the progression of gastric cancer (GC) remains unknown."
miR-497 directly targets Bcl-w.,"Knocking down simultaneously E2F5 and miR-98 almost fully restored normal differentiation, indicating that E2F5 is involved in the regulation of skeletal muscle differentiation."
The Primary Target of miR-34a in PVTT Cells Is the Chemokine Gene CCL22,Acute lung injury (ALI) is a severe clinical condition with high morbidity and mortality.
Pim-1 is a Direct Target of miR-16,MicroRNAs (miRNAs) are essential for regulating normal embryonic development and carcinogenesis.
In vitro assays showed that mTOR is a direct  target of miR-144,As the cell proliferation data showed that the tumor size should be regulated by NGAL-related cell growth.
